month,year,lat_range,adult_first_sight_dates,adult_first_sight_number,adult_first_sight_distinct_dates
7,2014,35+_TO_40,36,38,19
7,2014,45+_TO_50,28,28,13
7,2014,4O+_TO_45,157,157,31
7,2014,5O+_OR_GREATER,2,2,2
7,2015,30+_TO_35,14,25,11
7,2015,35+_TO_40,61,83,25
7,2015,45+_TO_50,21,38,14
7,2015,4O+_TO_45,170,214,30
7,2015,5O+_OR_GREATER,1,1,1
7,2016,25+_TO_30,1,1,1
7,2016,30+_TO_35,10,17,8
7,2016,35+_TO_40,111,132,29
7,2016,45+_TO_50,19,20,14
7,2016,4O+_TO_45,273,331,31
7,2016,5O+_OR_GREATER,2,2,2
7,2017,25+_TO_30,2,2,2
7,2017,30+_TO_35,4,5,3
7,2017,35+_TO_40,55,59,26
7,2017,45+_TO_50,19,24,14
7,2017,4O+_TO_45,182,254,31
7,2017,5O+_OR_GREATER,2,2,2
7,2018,30+_TO_35,9,11,6
7,2018,35+_TO_40,63,70,28
7,2018,45+_TO_50,22,38,15
7,2018,4O+_TO_45,159,218,30
7,2018,5O+_OR_GREATER,1,1,1
7,2019,30+_TO_35,9,9,9
7,2019,35+_TO_40,69,80,27
7,2019,45+_TO_50,26,33,21
7,2019,4O+_TO_45,148,195,31
7,2019,5O+_OR_GREATER,1,1,1
7,2020,25+_TO_30,4,7,3
7,2020,30+_TO_35,17,22,13
7,2020,35+_TO_40,118,146,30
7,2020,45+_TO_50,36,42,20
7,2020,4O+_TO_45,344,418,30
7,2020,5O+_OR_GREATER,5,6,4
8,1999,35+_TO_40,7,7,7
8,1999,45+_TO_50,7,7,7
8,1999,4O+_TO_45,11,11,8
8,2000,30+_TO_35,2,2,2
8,2000,35+_TO_40,1,1,1
8,2000,45+_TO_50,8,8,8
8,2000,4O+_TO_45,15,15,8
8,2000,5O+_OR_GREATER,1,1,1
8,2001,25+_TO_30,14,14,11
8,2001,30+_TO_35,117,117,26
8,2001,35+_TO_40,51,51,25
8,2001,45+_TO_50,44,44,24
8,2001,4O+_TO_45,52,52,22
8,2002,25+_TO_30,10,10,2
8,2002,30+_TO_35,24,24,12
8,2002,35+_TO_40,27,27,17
8,2002,45+_TO_50,9,9,6
8,2002,4O+_TO_45,32,32,25
8,2003,25+_TO_30,1,1,1
8,2003,30+_TO_35,5,5,5
8,2003,35+_TO_40,6,6,5
8,2003,45+_TO_50,5,5,5
8,2003,4O+_TO_45,28,28,12
8,2004,20_OR_LESS,1,1,1
8,2004,25+_TO_30,2,2,2
8,2004,30+_TO_35,11,11,11
8,2004,35+_TO_40,24,24,17
8,2004,45+_TO_50,3,3,3
8,2004,4O+_TO_45,12,12,9
8,2005,25+_TO_30,2,2,2
8,2005,30+_TO_35,19,19,13
8,2005,35+_TO_40,38,38,15
8,2005,45+_TO_50,8,8,6
8,2005,4O+_TO_45,62,62,18
8,2006,20+_TO_25,1,1,1
8,2006,25+_TO_30,4,4,4
8,2006,30+_TO_35,19,19,12
8,2006,35+_TO_40,26,26,18
8,2006,45+_TO_50,9,9,8
8,2006,4O+_TO_45,62,62,19
8,2006,5O+_OR_GREATER,3,3,3
8,2007,30+_TO_35,21,21,16
8,2007,35+_TO_40,33,33,20
8,2007,45+_TO_50,11,11,8
8,2007,4O+_TO_45,87,87,22
8,2007,5O+_OR_GREATER,4,4,4
8,2008,25+_TO_30,4,4,3
8,2008,30+_TO_35,36,36,17
8,2008,35+_TO_40,52,52,23
8,2008,45+_TO_50,8,8,6
8,2008,4O+_TO_45,59,59,25
8,2009,25+_TO_30,11,11,7
8,2009,30+_TO_35,63,63,21
8,2009,35+_TO_40,80,80,26
8,2009,45+_TO_50,18,18,13
8,2009,4O+_TO_45,84,84,26
8,2010,25+_TO_30,1,1,1
8,2010,30+_TO_35,1,1,1
8,2010,35+_TO_40,6,6,4
8,2010,4O+_TO_45,5,5,3
8,2011,30+_TO_35,2,2,2
